entity_id,short_text,ambiguous_entity,candidate_link
247560560743428096_times,I heard a female (I think) barred owl call three or fur times and now she's quiet. Maybe because there was no response.,times,http://en.wikipedia.org/wiki/The_Times
247560560743428096_times,I heard a female (I think) barred owl call three or fur times and now she's quiet. Maybe because there was no response.,times,http://en.wikipedia.org/wiki/The_Times_of_India
247560560743428096_times,I heard a female (I think) barred owl call three or fur times and now she's quiet. Maybe because there was no response.,times,http://en.wikipedia.org/wiki/The_Times_(Shreveport)
244123379169374209_bird,"I keep hearing some other bird that sounds like a crow, but it's not quite as annoying.",bird,http://en.wikipedia.org/wiki/The_Birds_(film)
244123379169374209_bird,"I keep hearing some other bird that sounds like a crow, but it's not quite as annoying.",bird,http://en.wikipedia.org/wiki/Royal_Society_for_the_Protection_of_Birds
244123379169374209_bird,"I keep hearing some other bird that sounds like a crow, but it's not quite as annoying.",bird,http://en.wikipedia.org/wiki/Bird
244123379169374209_bird,"I keep hearing some other bird that sounds like a crow, but it's not quite as annoying.",bird,http://en.wikipedia.org/wiki/The_Birds_(play)
244123379169374209_bird,"I keep hearing some other bird that sounds like a crow, but it's not quite as annoying.",bird,http://en.wikipedia.org/wiki/Finger_(gesture)
244123379169374209_bird,"I keep hearing some other bird that sounds like a crow, but it's not quite as annoying.",bird,http://en.wikipedia.org/wiki/United_States_Air_Force_Academy
244123379169374209_bird,"I keep hearing some other bird that sounds like a crow, but it's not quite as annoying.",bird,http://en.wikipedia.org/wiki/Baltimore_Orioles
239594876092698626_shit,Video rendering failed due to computer overheating because it's a piece of shit. Tweeting this message from phone failed because also shit.,shit,http://en.wikipedia.org/wiki/Feces
239594876092698626_shit,Video rendering failed due to computer overheating because it's a piece of shit. Tweeting this message from phone failed because also shit.,shit,http://en.wikipedia.org/wiki/Shit
238043168522784768_shift,I got a shift at the State Fair donut booth! I'm so happy!,shift,http://en.wikipedia.org/wiki/Chemise
238043168522784768_shift,I got a shift at the State Fair donut booth! I'm so happy!,shift,http://en.wikipedia.org/wiki/Shift_work
238043168522784768_shift,I got a shift at the State Fair donut booth! I'm so happy!,shift,http://en.wikipedia.org/wiki/Metamorpho
238043168522784768_shift,I got a shift at the State Fair donut booth! I'm so happy!,shift,http://en.wikipedia.org/wiki/Shift_key
238043168522784768_shift,I got a shift at the State Fair donut booth! I'm so happy!,shift,http://en.wikipedia.org/wiki/Need_for_Speed:_Shift
247564586423816192_kinda,It was nice earlier in the year when I could hear different owls talking to each other. Kinda sad now that there was one who got no response,kinda,http://en.wikipedia.org/wiki/Kindah
247564586423816192_kinda,It was nice earlier in the year when I could hear different owls talking to each other. Kinda sad now that there was one who got no response,kinda,http://en.wikipedia.org/wiki/Kinda_(Doctor_Who)
237967208125435904_finn,@JeremyTheNerd I like how everyone except Finn understands her perfectly too.,finn,http://en.wikipedia.org/wiki/List_of_characters_from_The_Sopranos_-_friends_and_family
237967208125435904_finn,@JeremyTheNerd I like how everyone except Finn understands her perfectly too.,finn,http://en.wikipedia.org/wiki/Fionn_mac_Cumhaill
237967208125435904_finn,@JeremyTheNerd I like how everyone except Finn understands her perfectly too.,finn,http://en.wikipedia.org/wiki/River_Finn
