entityID,entityTextString,shorttextID,shorttextString,username
225440103508619264_0,Vista,225440103508619264,"I'm at Cerro Vista Apartments (San Luis Obispo, California) http://t.co/Y9u4biet",goldman60
225440103508619264_1,m,225440103508619264,"I'm at Cerro Vista Apartments (San Luis Obispo, California) http://t.co/Y9u4biet",goldman60
225440103508619264_2,u,225440103508619264,"I'm at Cerro Vista Apartments (San Luis Obispo, California) http://t.co/Y9u4biet",goldman60
225440103508619264_3,Cerro,225440103508619264,"I'm at Cerro Vista Apartments (San Luis Obispo, California) http://t.co/Y9u4biet",goldman60
225337884008386560_0,m,225337884008386560,"I'm at Splash Cafe &amp; Artisan Bakery (San Luis Obispo, CA) http://t.co/6cLYxY9Y",goldman60
225337884008386560_1,Splash,225337884008386560,"I'm at Splash Cafe &amp; Artisan Bakery (San Luis Obispo, CA) http://t.co/6cLYxY9Y",goldman60
225337884008386560_2,amp,225337884008386560,"I'm at Splash Cafe &amp; Artisan Bakery (San Luis Obispo, CA) http://t.co/6cLYxY9Y",goldman60
225337884008386560_3,Artisan,225337884008386560,"I'm at Splash Cafe &amp; Artisan Bakery (San Luis Obispo, CA) http://t.co/6cLYxY9Y",goldman60
225962944180133890_0,Louisa,225962944180133890,I just ousted John A. as the mayor of Louisa's Place on @foursquare! http://t.co/isVdouRw,goldman60
225962944180133890_1,s,225962944180133890,I just ousted John A. as the mayor of Louisa's Place on @foursquare! http://t.co/isVdouRw,goldman60
225962944180133890_2,foursquare,225962944180133890,I just ousted John A. as the mayor of Louisa's Place on @foursquare! http://t.co/isVdouRw,goldman60
222468057002541059_0,College of Business,222468057002541059,"I'm at Cal Poly Orfalea College of Business (San Luis Obispo, CA) http://t.co/3pyiFaxp",goldman60
222468057002541059_1,m,222468057002541059,"I'm at Cal Poly Orfalea College of Business (San Luis Obispo, CA) http://t.co/3pyiFaxp",goldman60
222468057002541059_2,Cal Poly,222468057002541059,"I'm at Cal Poly Orfalea College of Business (San Luis Obispo, CA) http://t.co/3pyiFaxp",goldman60
221045640204009476_0,m,221045640204009476,"I'm at Enzo's East Coast Eatery (San Luis Obispo, California) http://t.co/CUShXPeU",goldman60
221045640204009476_1,East Coast,221045640204009476,"I'm at Enzo's East Coast Eatery (San Luis Obispo, California) http://t.co/CUShXPeU",goldman60
